blockKey,total,went,rate,smoothedRate,meetsMinSample
"Ahead 9-14 | H1 Mid | YTG 31-40 | Dist 1",88,79,0.8977,0.7233,true
"Ahead 9-14 | H1 Early | YTG 11-20 | Dist 3-5",88,6,0.0682,0.1047,true
"Ahead 6-8 | H1 Early | YTG 41-50 | Dist 1",87,62,0.7126,0.5842,true
"Ahead 9-14 | H2 Mid | YTG 51-60 | Dist 1",87,32,0.3678,0.3278,true
"Ahead 9-14 | H1 Mid | YTG 71-80 | Dist 9-10",87,1,0.0115,0.0628,true
"Ahead 15+ | H2 Early | YTG 51-60 | Dist 15-20",87,3,0.0345,0.0799,true
"Ahead 6-8 | H1 Mid | YTG 81-90 | Dist 6-8",87,1,0.0115,0.0628,true
"Behind 9-14 | H1 Mid | YTG 51-60 | Dist 2",87,25,0.2874,0.2680,true
"Behind 6-8 | H1 Mid | YTG 11-20 | Dist 6-8",87,5,0.0575,0.0970,true
"Behind 6-8 | H2 Mid | YTG 31-40 | Dist 6-8",87,39,0.4483,0.3876,true
"Behind 15+ | H2 Final 4 | YTG 21-30 | Dist 6-8",87,65,0.7471,0.6099,true
"Behind 3-5 | H1 Mid | YTG 21-30 | Dist 11-14",87,4,0.0460,0.0885,true
"Behind 6-8 | H2 Mid | YTG 11-20 | Dist 3-5",87,30,0.3448,0.3107,true
"Behind 9-14 | H1 Early | YTG 81-90 | Dist 15-20",87,3,0.0345,0.0799,true
"Ahead 9-14 | H2 Early | YTG 11-20 | Dist 11-14",87,2,0.0230,0.0714,true
"Behind 9-14 | H1 Final 4 | YTG 41-50 | Dist 3-5",87,35,0.4023,0.3534,true
"Tied | H2 Early | YTG 41-50 | Dist 3-5",87,22,0.2529,0.2423,true
"Behind 3-5 | H2 Mid | YTG 21-30 | Dist 6-8",87,21,0.2414,0.2338,true
"Behind 15+ | H2 Final 4 | YTG 11-20 | Dist 6-8",87,65,0.7471,0.6099,true
"Ahead 15+ | H2 Final 4 | YTG 21-30 | Dist 6-8",86,55,0.6395,0.5289,true
"Ahead 9-14 | H2 Early | YTG 61-70 | Dist 15-20",86,2,0.0233,0.0720,true
"Behind 9-14 | H1 Final 4 | YTG 41-50 | Dist 6-8",86,19,0.2209,0.2186,true
"Ahead 3-5 | H1 Mid | YTG 51-60 | Dist 11-14",86,1,0.0116,0.0634,true
"Ahead 6-8 | H1 Early | YTG 51-60 | Dist 11-14",86,1,0.0116,0.0634,true
"Behind 6-8 | H1 Early | YTG 71-80 | Dist 2",86,4,0.0465,0.0893,true
"Ahead 9-14 | H1 Final 4 | YTG 51-60 | Dist 3-5",86,8,0.0930,0.1237,true
"Ahead 9-14 | H2 Mid | YTG 31-40 | Dist 1",86,68,0.7907,0.6410,true
"Behind 9-14 | H2 Mid | YTG 51-60 | Dist 15-20",86,15,0.1744,0.1841,true
"Ahead 15+ | H2 Final 4 | YTG 71-80 | Dist 3-5",86,10,0.1163,0.1410,true
"Ahead 6-8 | H2 Mid | YTG 1-10 | Dist 3-5",86,2,0.0233,0.0720,true
"Ahead 6-8 | H1 Early | YTG 51-60 | Dist 9-10",86,0,0.0000,0.0548,true
"Behind 9-14 | H2 Early | YTG 61-70 | Dist 2",86,16,0.1860,0.1927,true
"Behind 9-14 | H2 Mid | YTG 21-30 | Dist 9-10",86,24,0.2791,0.2617,true
"Ahead 3-5 | H1 Mid | YTG 31-40 | Dist 11-14",85,10,0.1176,0.1422,true
"Behind 15+ | H2 Mid | YTG 11-20 | Dist 2",85,73,0.8588,0.6900,true
"Behind 3-5 | H1 Mid | YTG 51-60 | Dist 15-20",85,1,0.0118,0.0639,true
"Ahead 9-14 | H1 Mid | YTG 21-30 | Dist 9-10",85,6,0.0706,0.1074,true
"Ahead 6-8 | H1 Early | YTG 71-80 | Dist 9-10",85,0,0.0000,0.0552,true
"Ahead 3-5 | H1 Early | YTG 51-60 | Dist 6-8",85,1,0.0118,0.0639,true
"Behind 6-8 | H1 Final 4 | YTG 61-70 | Dist 3-5",85,4,0.0471,0.0900,true
"Ahead 9-14 | H2 Mid | YTG 41-50 | Dist 1",85,49,0.5765,0.4813,true
"Behind 9-14 | H2 Early | YTG 41-50 | Dist 15-20",85,4,0.0471,0.0900,true
"Ahead 15+ | H2 Early | YTG 61-70 | Dist 2",85,4,0.0471,0.0900,true
"Ahead 6-8 | H1 Early | YTG 61-70 | Dist 11-14",85,1,0.0118,0.0639,true
"Ahead 6-8 | H2 Early | YTG 71-80 | Dist 11-14",85,0,0.0000,0.0552,true
"Tied | H1 Early | YTG 91-100 | Dist 9-10",85,1,0.0118,0.0639,true
"Ahead 9-14 | H2 Early | YTG 51-60 | Dist 9-10",85,3,0.0353,0.0813,true
"Ahead 15+ | H2 Mid | YTG 71-80 | Dist 2",85,6,0.0706,0.1074,true
"Ahead 9-14 | H1 Mid | YTG 41-50 | Dist 11-14",85,4,0.0471,0.0900,true
"Ahead 3-5 | H1 Early | YTG 61-70 | Dist 6-8",85,3,0.0353,0.0813,true
"Behind 6-8 | H1 Mid | YTG 61-70 | Dist 2",84,7,0.0833,0.1171,true
"Ahead 3-5 | H1 Early | YTG 1-10 | Dist 1",84,30,0.3571,0.3189,true
"Ahead 9-14 | H2 Early | YTG 21-30 | Dist 1",84,60,0.7143,0.5820,true
"Behind 9-14 | H1 Final 4 | YTG 71-80 | Dist 3-5",84,4,0.0476,0.0908,true
"Ahead 9-14 | H2 Mid | YTG 41-50 | Dist 15-20",84,1,0.0119,0.0645,true
"Ahead 6-8 | H2 Mid | YTG 71-80 | Dist 9-10",84,2,0.0238,0.0733,true
"Ahead 15+ | H1 Mid | YTG 41-50 | Dist 3-5",84,25,0.2976,0.2750,true
"Behind 9-14 | H1 Mid | YTG 81-90 | Dist 9-10",84,1,0.0119,0.0645,true
"Behind 9-14 | H1 Mid | YTG 31-40 | Dist 2",84,57,0.6786,0.5557,true
"Behind 15+ | H2 Early | YTG 11-20 | Dist 1",84,62,0.7381,0.5996,true
"Behind 9-14 | H2 Early | YTG 41-50 | Dist 2",84,50,0.5952,0.4943,true
"Behind 9-14 | H1 Mid | YTG 11-20 | Dist 11-14",84,4,0.0476,0.0908,true
"Ahead 15+ | H2 Early | YTG 81-90 | Dist 15-20",84,3,0.0357,0.0820,true
"Ahead 6-8 | H1 Mid | YTG 21-30 | Dist 11-14",84,7,0.0833,0.1171,true
"Behind 15+ | H2 Final 4 | YTG 61-70 | Dist 2",84,49,0.5833,0.4856,true
"Behind 15+ | H2 Final 4 | YTG 51-60 | Dist 1",84,74,0.8810,0.7049,true
"Ahead 9-14 | H1 Mid | YTG 61-70 | Dist 9-10",84,0,0.0000,0.0557,true
"Behind 9-14 | H2 Mid | YTG 81-90 | Dist 11-14",83,4,0.0482,0.0916,true
"Behind 6-8 | H1 Mid | YTG 41-50 | Dist 2",83,30,0.3614,0.3217,true
"Behind 6-8 | H2 Mid | YTG 71-80 | Dist 3-5",83,12,0.1446,0.1624,true
"Ahead 6-8 | H2 Early | YTG 61-70 | Dist 1",83,27,0.3253,0.2952,true
"Ahead 9-14 | H2 Early | YTG 51-60 | Dist 1",83,25,0.3012,0.2775,true
"Behind 3-5 | H2 Early | YTG 1-10 | Dist 3-5",83,14,0.1687,0.1801,true
"Ahead 3-5 | H1 Mid | YTG 41-50 | Dist 11-14",83,1,0.0120,0.0651,true
"Ahead 15+ | H2 Mid | YTG 81-90 | Dist 15-20",83,1,0.0120,0.0651,true
"Behind 9-14 | H2 Early | YTG 81-90 | Dist 6-8",83,6,0.0723,0.1093,true
"Behind 3-5 | H1 Mid | YTG 11-20 | Dist 9-10",83,0,0.0000,0.0562,true
"Ahead 15+ | H1 Final 4 | YTG 21-30 | Dist 6-8",83,9,0.1084,0.1359,true
"Behind 15+ | H2 Final 4 | YTG 1-10 | Dist 6-8",83,71,0.8554,0.6845,true
"Behind 9-14 | H2 Early | YTG 51-60 | Dist 15-20",83,4,0.0482,0.0916,true
"Behind 9-14 | H1 Mid | YTG 1-10 | Dist 1",83,61,0.7349,0.5960,true
"Behind 9-14 | H1 Mid | YTG 81-90 | Dist 3-5",83,3,0.0361,0.0828,true
"Behind 6-8 | H1 Mid | YTG 21-30 | Dist 9-10",83,8,0.0964,0.1270,true
"Behind 6-8 | H2 Mid | YTG 41-50 | Dist 6-8",83,16,0.1928,0.1978,true
"Behind 6-8 | H2 Mid | YTG 1-10 | Dist 1",83,66,0.7952,0.6403,true
"Behind 15+ | H1 Final 4 | YTG 61-70 | Dist 11-14",82,1,0.0122,0.0657,true
"Tied | H1 Mid | YTG 21-30 | Dist 9-10",82,10,0.1220,0.1460,true
"Behind 9-14 | H2 Mid | YTG 11-20 | Dist 11-14",82,27,0.3293,0.2978,true
"Behind 9-14 | H1 Final 4 | YTG 21-30 | Dist 6-8",82,10,0.1220,0.1460,true
"Behind 3-5 | H1 Mid | YTG 81-90 | Dist 11-14",82,0,0.0000,0.0567,true
"Behind 3-5 | H1 Mid | YTG 51-60 | Dist 1",82,56,0.6829,0.5567,true
"Behind 6-8 | H2 Early | YTG 61-70 | Dist 11-14",82,0,0.0000,0.0567,true
"Ahead 15+ | H1 Final 4 | YTG 11-20 | Dist 3-5",82,13,0.1585,0.1728,true
"Behind 6-8 | H1 Mid | YTG 51-60 | Dist 2",82,18,0.2195,0.2174,true
"Behind 9-14 | H2 Early | YTG 1-10 | Dist 6-8",82,4,0.0488,0.0924,true
"Behind 3-5 | H2 Early | YTG 41-50 | Dist 1",82,66,0.8049,0.6460,true
"Behind 6-8 | H2 Mid | YTG 61-70 | Dist 9-10",82,6,0.0732,0.1103,true
"Behind 9-14 | H1 Mid | YTG 11-20 | Dist 1",82,68,0.8293,0.6639,true
"Behind 15+ | H1 Final 4 | YTG 61-70 | Dist 1",82,17,0.2073,0.2085,true
"Ahead 6-8 | H2 Early | YTG 11-20 | Dist 6-8",82,0,0.0000,0.0567,true
"Ahead 3-5 | H1 Mid | YTG 31-40 | Dist 1",82,71,0.8659,0.6907,true
"Behind 3-5 | H2 Early | YTG 1-10 | Dist 1",82,69,0.8415,0.6728,true
"Behind 6-8 | H1 Mid | YTG 81-90 | Dist 3-5",82,7,0.0854,0.1192,true
"Behind 3-5 | H1 Final 4 | YTG 61-70 | Dist 3-5",82,5,0.0610,0.1014,true
"Ahead 15+ | H1 Mid | YTG 61-70 | Dist 6-8",81,4,0.0494,0.0933,true
"Behind 9-14 | H1 Mid | YTG 11-20 | Dist 9-10",81,4,0.0494,0.0933,true
"Ahead 3-5 | H2 Early | YTG 61-70 | Dist 11-14",81,2,0.0247,0.0753,true
"Behind 15+ | H2 Final 4 | YTG 51-60 | Dist 9-10",81,62,0.7654,0.6158,true
"Behind 15+ | H1 Mid | YTG 41-50 | Dist 9-10",81,2,0.0247,0.0753,true
"Behind 6-8 | H1 Early | YTG 81-90 | Dist 3-5",81,3,0.0370,0.0843,true
"Behind 9-14 | H1 Final 4 | YTG 71-80 | Dist 9-10",81,5,0.0617,0.1023,true
"Behind 15+ | H1 Mid | YTG 31-40 | Dist 9-10",81,29,0.3580,0.3185,true
"Tied | H1 Early | YTG 81-90 | Dist 2",81,4,0.0494,0.0933,true
"Ahead 6-8 | H1 Mid | YTG 21-30 | Dist 1",81,67,0.8272,0.6608,true
"Ahead 3-5 | H1 Early | YTG 31-40 | Dist 9-10",81,4,0.0494,0.0933,true
"Ahead 3-5 | H1 Early | YTG 51-60 | Dist 3-5",81,7,0.0864,0.1203,true
"Ahead 15+ | H2 Early | YTG 81-90 | Dist 11-14",81,0,0.0000,0.0572,true
"Behind 15+ | H1 Final 4 | YTG 21-30 | Dist 3-5",81,42,0.5185,0.4356,true
"Ahead 6-8 | H2 Mid | YTG 31-40 | Dist 3-5",81,28,0.3457,0.3095,true
"Behind 15+ | H1 Mid | YTG 51-60 | Dist 15-20",81,2,0.0247,0.0753,true
"Ahead 3-5 | H2 Early | YTG 71-80 | Dist 11-14",81,4,0.0494,0.0933,true
"Behind 6-8 | H1 Mid | YTG 71-80 | Dist 1",81,21,0.2593,0.2464,true
"Tied | H2 Early | YTG 71-80 | Dist 3-5",81,2,0.0247,0.0753,true
"Ahead 9-14 | H2 Mid | YTG 21-30 | Dist 1",81,53,0.6543,0.5347,true
"Behind 9-14 | H2 Early | YTG 1-10 | Dist 1",81,67,0.8272,0.6608,true
"Tied | H1 Mid | YTG 51-60 | Dist 2",81,9,0.1111,0.1383,true
"Behind 15+ | H1 Mid | YTG 31-40 | Dist 1",81,67,0.8272,0.6608,true
"Behind 9-14 | H1 Early | YTG 71-80 | Dist 15-20",81,0,0.0000,0.0572,true
"Tied | H2 Early | YTG 61-70 | Dist 1",81,33,0.4074,0.3545,true
"Ahead 6-8 | H1 Early | YTG 61-70 | Dist 9-10",80,3,0.0375,0.0850,true
"Behind 15+ | H2 Final 4 | YTG 11-20 | Dist 11-14",80,50,0.6250,0.5123,true
"Behind 6-8 | H2 Mid | YTG 21-30 | Dist 3-5",80,33,0.4125,0.3578,true
"Tied | H1 Mid | YTG 21-30 | Dist 11-14",80,6,0.0750,0.1123,true
"Behind 3-5 | H2 Early | YTG 81-90 | Dist 11-14",80,2,0.0250,0.0759,true
"Ahead 3-5 | H1 Mid | YTG 41-50 | Dist 9-10",80,2,0.0250,0.0759,true
"Behind 15+ | H2 Final 4 | YTG 41-50 | Dist 1",80,76,0.9500,0.7487,true
"Ahead 9-14 | H2 Early | YTG 81-90 | Dist 11-14",80,2,0.0250,0.0759,true
"Ahead 3-5 | H2 Mid | YTG 71-80 | Dist 9-10",80,0,0.0000,0.0578,true
"Behind 3-5 | H1 Mid | YTG 1-10 | Dist 1",80,66,0.8250,0.6578,true
"Behind 15+ | H1 Mid | YTG 41-50 | Dist 11-14",80,5,0.0625,0.1032,true
"Behind 15+ | H1 Final 4 | YTG 31-40 | Dist 3-5",79,51,0.6456,0.5262,true
"Ahead 15+ | H2 Mid | YTG 1-10 | Dist 9-10",79,9,0.1139,0.1409,true
"Ahead 9-14 | H1 Mid | YTG 31-40 | Dist 9-10",79,11,0.1392,0.1592,true
"Ahead 15+ | H2 Early | YTG 21-30 | Dist 15-20",79,2,0.0253,0.0766,true
"Behind 3-5 | H2 Mid | YTG 71-80 | Dist 11-14",79,2,0.0253,0.0766,true
"Behind 15+ | H2 Final 4 | YTG 11-20 | Dist 9-10",79,63,0.7975,0.6363,true
"Behind 15+ | H2 Final 4 | YTG 61-70 | Dist 1",79,49,0.6203,0.5078,true
"Behind 9-14 | H1 Final 4 | YTG 31-40 | Dist 3-5",79,49,0.6203,0.5078,true
"Ahead 6-8 | H2 Early | YTG 61-70 | Dist 11-14",79,2,0.0253,0.0766,true
"Ahead 15+ | H1 Mid | YTG 61-70 | Dist 3-5",79,4,0.0506,0.0950,true
"Ahead 15+ | H1 Mid | YTG 41-50 | Dist 6-8",79,8,0.1013,0.1317,true
"Ahead 6-8 | H1 Mid | YTG 61-70 | Dist 15-20",79,1,0.0127,0.0675,true
"Ahead 6-8 | H2 Early | YTG 71-80 | Dist 9-10",79,0,0.0000,0.0583,true
"Ahead 6-8 | H2 Early | YTG 61-70 | Dist 9-10",79,1,0.0127,0.0675,true
"Ahead 15+ | H1 Final 4 | YTG 1-10 | Dist 1",79,60,0.7595,0.6087,true
"Behind 3-5 | H1 Mid | YTG 41-50 | Dist 9-10",79,0,0.0000,0.0583,true
"Behind 6-8 | H2 Mid | YTG 71-80 | Dist 11-14",79,3,0.0380,0.0858,true
"Ahead 9-14 | H2 Early | YTG 81-90 | Dist 6-8",79,1,0.0127,0.0675,true
"Tied | H1 Final 4 | YTG 61-70 | Dist 3-5",79,6,0.0759,0.1133,true
"Behind 3-5 | H1 Mid | YTG 21-30 | Dist 1",79,60,0.7595,0.6087,true
"Ahead 3-5 | H1 Mid | YTG 1-10 | Dist 2",79,22,0.2785,0.2601,true
"Behind 15+ | H2 Final 4 | YTG 61-70 | Dist 11-14",78,36,0.4615,0.3922,true
"Behind 15+ | H2 Final 4 | YTG 81-90 | Dist 15-20",78,23,0.2949,0.2718,true
"Behind 3-5 | H2 Mid | YTG 1-10 | Dist 3-5",78,12,0.1538,0.1699,true
"Behind 3-5 | H2 Early | YTG 11-20 | Dist 3-5",78,4,0.0513,0.0959,true
"Behind 9-14 | H2 Early | YTG 71-80 | Dist 1",78,32,0.4103,0.3551,true
"Tied | H2 Early | YTG 71-80 | Dist 9-10",78,0,0.0000,0.0588,true
"Behind 3-5 | H1 Early | YTG 21-30 | Dist 9-10",78,3,0.0385,0.0866,true
"Behind 3-5 | H1 Early | YTG 21-30 | Dist 11-14",78,4,0.0513,0.0959,true
"Behind 9-14 | H1 Early | YTG 41-50 | Dist 3-5",78,17,0.2179,0.2162,true
"Behind 6-8 | H2 Early | YTG 1-10 | Dist 1",78,62,0.7949,0.6329,true
"Ahead 3-5 | H1 Mid | YTG 21-30 | Dist 1",78,64,0.8205,0.6514,true
"Ahead 3-5 | H1 Mid | YTG 11-20 | Dist 1",78,53,0.6795,0.5496,true
"Behind 15+ | H2 Early | YTG 91-100 | Dist 20+",78,1,0.0128,0.0681,true
"Ahead 3-5 | H2 Mid | YTG 61-70 | Dist 1",78,29,0.3718,0.3273,true
"Behind 9-14 | H2 Mid | YTG 11-20 | Dist 6-8",78,31,0.3974,0.3459,true
"Behind 3-5 | H2 Early | YTG 21-30 | Dist 3-5",77,18,0.2338,0.2276,true
"Ahead 6-8 | H1 Mid | YTG 71-80 | Dist 1",77,18,0.2338,0.2276,true
"Behind 15+ | H2 Final 4 | YTG 11-20 | Dist 3-5",77,64,0.8312,0.6575,true
"Ahead 9-14 | H1 Final 4 | YTG 21-30 | Dist 6-8",77,12,0.1558,0.1715,true
"Ahead 9-14 | H1 Final 4 | YTG 61-70 | Dist 3-5",77,3,0.0390,0.0874,true
"Ahead 9-14 | H1 Final 4 | YTG 41-50 | Dist 6-8",77,11,0.1429,0.1622,true
"Ahead 6-8 | H1 Early | YTG 81-90 | Dist 6-8",77,0,0.0000,0.0594,true
"Behind 9-14 | H1 Mid | YTG 71-80 | Dist 1",77,25,0.3247,0.2930,true
"Behind 9-14 | H1 Final 4 | YTG 51-60 | Dist 9-10",77,4,0.0519,0.0968,true
"Behind 6-8 | H2 Mid | YTG 1-10 | Dist 6-8",77,24,0.3117,0.2837,true
"Behind 6-8 | H2 Early | YTG 81-90 | Dist 15-20",77,0,0.0000,0.0594,true
"Behind 9-14 | H1 Final 4 | YTG 71-80 | Dist 11-14",77,2,0.0260,0.0781,true
"Behind 3-5 | H2 Mid | YTG 21-30 | Dist 3-5",77,25,0.3247,0.2930,true
"Behind 6-8 | H1 Mid | YTG 21-30 | Dist 11-14",77,8,0.1039,0.1341,true
"Behind 9-14 | H2 Mid | YTG 21-30 | Dist 11-14",77,26,0.3377,0.3024,true
"Tied | H2 Mid | YTG 41-50 | Dist 3-5",77,7,0.0909,0.1248,true
"Ahead 6-8 | H1 Early | YTG 41-50 | Dist 11-14",77,1,0.0130,0.0687,true
"Behind 9-14 | H1 Final 4 | YTG 21-30 | Dist 3-5",77,24,0.3117,0.2837,true
"Ahead 15+ | H2 Early | YTG 71-80 | Dist 1",77,15,0.1948,0.1996,true
"Ahead 15+ | H2 Final 4 | YTG 31-40 | Dist 1",77,71,0.9221,0.7229,true
"Ahead 9-14 | H2 Early | YTG 31-40 | Dist 9-10",77,11,0.1429,0.1622,true
"Behind 9-14 | H2 Mid | YTG 11-20 | Dist 9-10",77,34,0.4416,0.3771,true
"Tied | H2 Early | YTG 31-40 | Dist 3-5",77,34,0.4416,0.3771,true
"Behind 9-14 | H1 Mid | YTG 1-10 | Dist 6-8",76,3,0.0395,0.0882,true
"Ahead 3-5 | H2 Early | YTG 31-40 | Dist 9-10",76,11,0.1447,0.1637,true
"Tied | H1 Early | YTG 91-100 | Dist 3-5",76,7,0.0921,0.1260,true
"Ahead 9-14 | H1 Final 4 | YTG 71-80 | Dist 6-8",76,1,0.0132,0.0694,true
"Ahead 6-8 | H2 Early | YTG 1-10 | Dist 1",76,51,0.6711,0.5411,true
"Ahead 3-5 | H2 Mid | YTG 51-60 | Dist 11-14",76,2,0.0263,0.0788,true
"Ahead 3-5 | H1 Mid | YTG 51-60 | Dist 9-10",76,4,0.0526,0.0977,true
"Tied | H1 Mid | YTG 11-20 | Dist 11-14",76,4,0.0526,0.0977,true
"Ahead 3-5 | H2 Early | YTG 41-50 | Dist 9-10",76,2,0.0263,0.0788,true
"Behind 6-8 | H1 Early | YTG 21-30 | Dist 9-10",76,5,0.0658,0.1071,true
"Ahead 15+ | H1 Mid | YTG 31-40 | Dist 3-5",76,47,0.6184,0.5033,true
"Behind 9-14 | H1 Final 4 | YTG 61-70 | Dist 9-10",76,5,0.0658,0.1071,true
"Behind 15+ | H1 Final 4 | YTG 41-50 | Dist 6-8",76,28,0.3684,0.3241,true
"Behind 6-8 | H1 Early | YTG 81-90 | Dist 9-10",76,1,0.0132,0.0694,true
"Ahead 9-14 | H2 Early | YTG 51-60 | Dist 2",76,9,0.1184,0.1448,true
"Ahead 3-5 | H2 Early | YTG 51-60 | Dist 9-10",76,1,0.0132,0.0694,true
"Tied | H2 Mid | YTG 51-60 | Dist 3-5",76,6,0.0789,0.1165,true
"Ahead 3-5 | H2 Early | YTG 1-10 | Dist 1",75,51,0.6800,0.5462,true
"Ahead 3-5 | H1 Early | YTG 11-20 | Dist 1",75,19,0.2533,0.2415,true
"Ahead 6-8 | H1 Mid | YTG 31-40 | Dist 11-14",75,12,0.1600,0.1748,true
"Ahead 9-14 | H2 Early | YTG 11-20 | Dist 1",75,49,0.6533,0.5272,true
"Behind 6-8 | H2 Early | YTG 61-70 | Dist 2",75,7,0.0933,0.1272,true
"Ahead 3-5 | H1 Early | YTG 31-40 | Dist 11-14",75,8,0.1067,0.1367,true
"Ahead 6-8 | H2 Mid | YTG 11-20 | Dist 6-8",75,2,0.0267,0.0796,true
"Behind 6-8 | H1 Mid | YTG 21-30 | Dist 2",75,48,0.6400,0.5176,true
"Ahead 6-8 | H2 Mid | YTG 11-20 | Dist 3-5",75,1,0.0133,0.0700,true
"Behind 15+ | H2 Mid | YTG 91-100 | Dist 15-20",75,2,0.0267,0.0796,true
"Ahead 3-5 | H1 Mid | YTG 81-90 | Dist 15-20",75,2,0.0267,0.0796,true
"Ahead 9-14 | H1 Mid | YTG 81-90 | Dist 6-8",75,1,0.0133,0.0700,true
"Behind 9-14 | H2 Mid | YTG 1-10 | Dist 6-8",75,38,0.5067,0.4224,true
"Behind 3-5 | H2 Early | YTG 51-60 | Dist 1",75,47,0.6267,0.5081,true
"Behind 3-5 | H1 Mid | YTG 81-90 | Dist 9-10",75,0,0.0000,0.0605,true
"Behind 6-8 | H2 Early | YTG 31-40 | Dist 1",75,61,0.8133,0.6415,true
"Ahead 9-14 | H2 Final 4 | YTG 1-10 | Dist 3-5",75,15,0.2000,0.2034,true
"Behind 9-14 | H2 Early | YTG 51-60 | Dist 2",74,20,0.2703,0.2534,true
"Ahead 9-14 | H2 Early | YTG 51-60 | Dist 15-20",74,3,0.0405,0.0899,true
"Behind 3-5 | H2 Early | YTG 1-10 | Dist 6-8",74,3,0.0405,0.0899,true
"Ahead 9-14 | H2 Final 4 | YTG 31-40 | Dist 3-5",74,34,0.4595,0.3880,true
"Behind 15+ | H1 Final 4 | YTG 61-70 | Dist 9-10",74,5,0.0676,0.1092,true
"Ahead 3-5 | H1 Early | YTG 41-50 | Dist 3-5",74,9,0.1216,0.1476,true
"Ahead 3-5 | H1 Early | YTG 71-80 | Dist 9-10",74,0,0.0000,0.0611,true
"Behind 3-5 | H2 Mid | YTG 61-70 | Dist 9-10",74,6,0.0811,0.1188,true
"Behind 9-14 | H1 Early | YTG 61-70 | Dist 9-10",74,0,0.0000,0.0611,true
"Behind 15+ | H2 Mid | YTG 91-100 | Dist 3-5",74,32,0.4324,0.3688,true
"Ahead 9-14 | H2 Early | YTG 81-90 | Dist 15-20",74,0,0.0000,0.0611,true
"Behind 3-5 | H2 Mid | YTG 71-80 | Dist 3-5",74,4,0.0541,0.0995,true
"Ahead 15+ | H2 Final 4 | YTG 41-50 | Dist 1",74,52,0.7027,0.5611,true
"Behind 6-8 | H2 Early | YTG 51-60 | Dist 1",74,45,0.6081,0.4938,true
"Ahead 3-5 | H2 Mid | YTG 61-70 | Dist 9-10",74,2,0.0270,0.0803,true
"Behind 6-8 | H1 Mid | YTG 31-40 | Dist 2",74,49,0.6622,0.5322,true
"Ahead 6-8 | H2 Mid | YTG 21-30 | Dist 6-8",74,4,0.0541,0.0995,true
"Ahead 6-8 | H1 Early | YTG 11-20 | Dist 1",74,62,0.8378,0.6572,true
"Ahead 15+ | H2 Final 4 | YTG 1-10 | Dist 6-8",74,18,0.2432,0.2342,true
"Behind 3-5 | H1 Early | YTG 11-20 | Dist 3-5",74,1,0.0135,0.0707,true
"Ahead 9-14 | H2 Early | YTG 61-70 | Dist 2",74,4,0.0541,0.0995,true
"Ahead 9-14 | H1 Final 4 | YTG 11-20 | Dist 6-8",74,1,0.0135,0.0707,true
"Ahead 9-14 | H2 Mid | YTG 81-90 | Dist 3-5",73,2,0.0274,0.0811,true
"Tied | H1 Mid | YTG 31-40 | Dist 15-20",73,8,0.1096,0.1394,true
"Behind 15+ | H1 Final 4 | YTG 81-90 | Dist 15-20",73,0,0.0000,0.0617,true
"Ahead 6-8 | H2 Mid | YTG 31-40 | Dist 6-8",73,10,0.1370,0.1588,true
"Ahead 9-14 | H1 Early | YTG 1-10 | Dist 1",73,61,0.8356,0.6539,true
"Ahead 15+ | H2 Final 4 | YTG 11-20 | Dist 11-14",73,31,0.4247,0.3627,true
"Ahead 3-5 | H1 Mid | YTG 81-90 | Dist 3-5",73,1,0.0137,0.0714,true
"Ahead 6-8 | H1 Mid | YTG 81-90 | Dist 11-14",73,0,0.0000,0.0617,true
"Ahead 15+ | H1 Final 4 | YTG 11-20 | Dist 6-8",73,2,0.0274,0.0811,true
"Ahead 9-14 | H2 Mid | YTG 1-10 | Dist 2",73,19,0.2603,0.2461,true
"Behind 6-8 | H1 Mid | YTG 1-10 | Dist 6-8",73,2,0.0274,0.0811,true
"Ahead 6-8 | H1 Early | YTG 21-30 | Dist 6-8",73,14,0.1918,0.1976,true
"Tied | H1 Mid | YTG 81-90 | Dist 9-10",73,1,0.0137,0.0714,true
"Behind 9-14 | H2 Final 4 | YTG 61-70 | Dist 3-5",72,69,0.9583,0.7388,true
"Behind 3-5 | H1 Mid | YTG 81-90 | Dist 3-5",72,2,0.0278,0.0819,true
"Behind 15+ | H2 Early | YTG 21-30 | Dist 2",72,54,0.7500,0.5917,true
"Behind 3-5 | H1 Early | YTG 81-90 | Dist 15-20",72,0,0.0000,0.0623,true
"Ahead 9-14 | H2 Early | YTG 71-80 | Dist 15-20",72,0,0.0000,0.0623,true
"Ahead 6-8 | H1 Early | YTG 11-20 | Dist 3-5",72,20,0.2778,0.2584,true
"Ahead 9-14 | H1 Mid | YTG 21-30 | Dist 1",72,57,0.7917,0.6211,true
"Ahead 3-5 | H2 Mid | YTG 51-60 | Dist 1",72,33,0.4583,0.3858,true
"Behind 3-5 | H2 Early | YTG 11-20 | Dist 6-8",72,4,0.0556,0.1015,true
"Behind 3-5 | H2 Early | YTG 71-80 | Dist 15-20",72,0,0.0000,0.0623,true
"Behind 9-14 | H1 Mid | YTG 41-50 | Dist 2",72,35,0.4861,0.4054,true
"Ahead 15+ | H2 Mid | YTG 11-20 | Dist 15-20",72,5,0.0694,0.1113,true
"Ahead 9-14 | H2 Mid | YTG 21-30 | Dist 9-10",72,3,0.0417,0.0917,true
"Ahead 3-5 | H2 Mid | YTG 1-10 | Dist 1",72,62,0.8611,0.6701,true
